City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,papatowai,-46.5619,169.4708,7.18,71,91,6.95,NZ,1714947481
1,grytviken,-54.2811,-36.5092,3.32,89,70,4.62,GS,1714947481
2,whitehorse,60.7161,-135.0538,13.9,41,100,2.24,CA,1714947481
3,severo-yeniseyskiy,60.3725,93.0408,1.99,100,100,1.79,RU,1714947481
4,iqaluit,63.7506,-68.5145,-3.5,73,60,5.36,CA,1714947481
5,turinskaya sloboda,57.6232,64.3858,-2.94,91,22,2.51,RU,1714947482
6,hithadhoo,-0.6,73.0833,29.54,77,100,6.6,MV,1714947482
7,waitangi,-43.9535,-176.5597,13.23,84,56,1.34,NZ,1714947482
8,portland,45.5234,-122.6762,12.07,92,100,5.66,US,1714947002
9,luderitz,-26.6481,15.1594,15.7,69,0,2.46,NA,1714947482
10,jamestown,42.097,-79.2353,19.77,87,100,2.24,US,1714947316
11,ushuaia,-54.8,-68.3,0.49,98,100,1.81,AR,1714947483
12,larache,35.1932,-6.1557,17.28,93,100,1.3,MA,1714947483
13,warrenpoint,54.0995,-6.2509,13.38,87,99,1.41,GB,1714947483
14,port elizabeth,-33.918,25.5701,16.29,75,48,1.34,ZA,1714947483
15,cidade velha,14.9167,-23.6167,26.26,38,0,6.17,CV,1714947484
16,mahibadhoo,3.7833,72.9667,29.26,79,99,5.59,MV,1714947484
17,el nido,11.1858,119.3956,28.03,79,50,2.41,PH,1714947484
18,mermoz boabab,14.7065,-17.4758,24.31,86,0,7.34,SN,1714947484
19,tazovsky,67.4667,78.7,-7.04,92,100,6.45,RU,1714947484
20,stanley,54.868,-1.6985,11.96,93,40,1.54,GB,1714947485
21,the pas,53.8251,-101.2541,15.98,36,25,0.22,CA,1714947485
22,port alfred,-33.5906,26.891,20.2,64,20,4.94,ZA,1714947485
23,port-aux-francais,-49.35,70.2167,5.39,78,82,10.33,TF,1714947485
24,edinburgh of the seven seas,-37.0676,-12.3116,13.69,62,35,14.35,SH,1714947485
25,kalmunai,7.4167,81.8167,27.32,87,95,2.43,LK,1714947486
26,boyolangu,-8.1181,111.8935,22.86,92,100,0.9,ID,1714947486
27,sarangpur,23.5667,76.4667,31.06,32,58,5.69,IN,1714947486
28,sisimiut,66.9395,-53.6735,-4.96,79,88,6.38,GL,1714947486
29,port mathurin,-19.6833,63.4167,25.92,66,99,7.24,MU,1714947487
30,pitimbu,-7.4706,-34.8086,27.33,80,59,6.43,BR,1714947487
31,wailua homesteads,22.0669,-159.378,27.24,74,75,8.23,US,1714947487
32,ribeira grande,38.5167,-28.7,18.76,93,100,6.26,PT,1714947487
33,xinyuan,37.3,99.0,1.88,43,100,0.52,CN,1714947487
34,yellowknife,62.456,-114.3525,13.01,60,76,1.79,CA,1714947488
35,kirakira,-10.4544,161.9205,28.64,81,100,1.9,SB,1714947488
36,utrik,11.2278,169.8474,27.29,82,87,7.36,MH,1714947488
37,north battleford,52.7834,-108.2847,16.89,37,99,7.14,CA,1714947488
38,constantia,44.1833,28.65,8.17,67,0,4.74,RO,1714947246
39,djibo,14.1022,-1.6306,34.99,29,47,2.96,BF,1714947489
40,blackmans bay,-43.0167,147.3167,9.29,78,100,1.68,AU,1714947489
41,tsiombe,-25.3,45.4833,18.96,80,2,2.64,MG,1714947489
42,puerto natales,-51.7236,-72.4875,-0.77,82,18,1.82,CL,1714947489
43,ewo,-0.8725,14.8206,27.24,62,4,1.23,CG,1714947489
44,nicoya,10.1483,-85.452,31.58,59,74,3.37,CR,1714947489
45,isafjordur,66.0755,-23.124,1.89,72,53,4.71,IS,1714947490
46,turpan,42.9333,89.1667,25.79,9,0,0.76,CN,1714947490
